FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
16-250	Abalone, canned in brine, drained	Abalone, canned in brine, drained		
13-145	Ackee, canned, drained	Ackee, canned, drained		
13-042	Aduki beans, dried, boiled in unsalted water	Aduki beans, dried, boiled in unsalted water	A0704 A0831 B1110 C0133 E0150 F0014 G0015 H0148 H0259 J0116 K0003 M0001 N0001 P0024 P0078	
13-041	Aduki beans, dried, raw	Aduki beans, dried, raw	A0704 A0831 B1110 C0133 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
17-241	Advocaat	Advocaat		
13-146	Agar, dried	Agar, dried		
13-147	Agar, dried, soaked and drained	Agar, dried, soaked and drained		
13-148	Alfalfa sprouts, raw	Alfalfa sprouts, raw		
11-485	All-Bran	All-Bran	A0692 A0816 B1312 C0288 E0140 F0014 G0003 H0138 H0158 H0181 H0194 H0215 H0216 H0309 H0310 H0311 J0116 K0003 M0155 N0001 P0024 R0001	
11-624	All-Bran loaf	All-Bran loaf		
13-801	Allspice, ground	Allspice, ground		
14-870	Almonds	Almonds	A0703 A0823 B1272 C0132 E0122 F0018 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
14-803	Almonds, toasted	Almonds, toasted	A0703 A0823 B1272 C0132 E0122 F0018 G0010 H0138 J0116 K0003 M0001 N0001 P0024	
14-883	Almonds, weighed with shells	Almonds, weighed with shells	A0703 A0823 B1272 C0132 E0122 F0018 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
13-150	Amaranth leaves, boiled in unsalted water	Amaranth leaves, boiled in unsalted water		
13-149	Amaranth leaves, raw	Amaranth leaves, raw		
14-001	Amla	Amla		
16-323	Anchovies, canned in oil, drained	Anchovies, canned in oil, drained	A0717 A0803 B1554 C0173 E0151 F0014 G0003 H0001 J0123 K0026 M0204 N0001 P0024 Z0219	
13-802	Anise seeds	Anise seeds		
14-272	Apple juice concentrate, unsweetened	Apple juice concentrate, unsweetened		
14-271	Apple juice, unsweetened	Apple juice, unsweetened	A0708 A0841 B1245 C0167 E0109 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024 P0105	
11-681	Apple pie, one crust	Apple pie, one crust		
11-683	Apple pie, pastry top and bottom	Apple pie, pastry top and bottom		
11-682	Apple pie, wholemeal, one crust	Apple pie, wholemeal, one crust		
11-684	Apple pie, wholemeal, pastry top and bottom	Apple pie, wholemeal, pastry top and bottom		
17-608	Apple sauce, homemade	Apple sauce, homemade		
14-006	Apples, cooking, baked with sugar, flesh and skin	Apples, cooking, baked with sugar, flesh and skin	A0707 A0834 B1245 C0139 E0150 F0014 G0005 H0158 J0001 K0003 M0001 N0001 P0024	
14-007	Apples, cooking, baked with sugar, flesh only	Apples, cooking, baked with sugar, flesh only	A0707 A0834 B1245 C0229 E0150 F0014 G0005 H0158 J0001 K0003 M0001 N0001 P0024	
14-008	Apples, cooking, baked with sugar, weighed with skin	Apples, cooking, baked with sugar, weighed with skin	A0707 A0834 B1245 C0229 E0150 F0014 G0005 H0158 J0001 K0003 M0001 N0001 P0024	
14-009	Apples, cooking, baked without sugar, flesh and skin	Apples, cooking, baked without sugar, flesh and skin	A0707 A0834 B1245 C0139 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 P0091	
14-010	Apples, cooking, baked without sugar, flesh only	Apples, cooking, baked without sugar, flesh only	A0707 A0834 B1245 C0229 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 P0091	
14-011	Apples, cooking, baked without sugar, weighed with skin	Apples, cooking, baked without sugar, weighed with skin	A0707 A0834 B1245 C0229 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 P0091	
14-002	Apples, cooking, raw, peeled	Apples, cooking, raw, peeled	A0707 A0833 B1245 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-004	Apples, cooking, stewed with sugar	Apples, cooking, stewed with sugar	A0707 A0834 B1245 C0229 E0150 F0014 G0020 H0148 H0158 J0001 K0003 M0001 N0001 P0024	
14-005	Apples, cooking, stewed without sugar	Apples, cooking, stewed without sugar	A0707 A0834 B1245 C0229 E0150 F0014 G0020 H0148 J0001 K0003 M0001 N0001 P0024 P0091	
14-003	Apples, cooking, weighed with skin and core	Apples, cooking, weighed with skin and core	A0707 A0833 B1245 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-012	Apples, eating, average, raw	Apples, eating, average, raw	A0707 A0833 B1245 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-014	Apples, eating, average, raw, peeled	Apples, eating, average, raw, peeled	A0707 A0833 B1245 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-015	Apples, eating, average, raw, peeled, weighed with skin and core	Apples, eating, average, raw, peeled, weighed with skin and core	A0707 A0833 B1245 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-013	Apples, eating, average, raw, weighed with core	Apples, eating, average, raw, weighed with core	A0707 A0833 B1245 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-017	Apples, eating, Cox's Pippin, raw	Apples, eating, Cox's Pippin, raw	A0707 A0833 B1245 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-018	Apples, eating, Cox's Pippin, raw, weighed with core	Apples, eating, Cox's Pippin, raw, weighed with core	A0707 A0833 B1245 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-016	Apples, eating, dried	Apples, eating, dried		
14-019	Apples, eating, Golden Delicious, raw	Apples, eating, Golden Delicious, raw		
14-020	Apples, eating, Golden Delicious, raw, weighed with core	Apples, eating, Golden Delicious, raw, weighed with core		
14-021	Apples, eating, Granny Smith, raw	Apples, eating, Granny Smith, raw		
14-022	Apples, eating, Granny Smith, raw, weighed with core	Apples, eating, Granny Smith, raw, weighed with core		
14-023	Apples, eating, red dessert, raw	Apples, eating, red dessert, raw		
14-024	Apples, eating, red dessert, raw, weighed with core	Apples, eating, red dessert, raw, weighed with core		
14-302	Apricots, canned in juice	Apricots, canned in juice	A0707 A0834 B1529 C0213 E0133 F0014 G0003 H0003 J0123 K0039 M0204 N0001 P0024 Z0220	
14-290	Apricots, canned in syrup	Apricots, canned in syrup	A0707 A0834 B1529 C0213 E0133 F0014 G0003 H0136 J0123 K0023 M0204 N0001 P0024 Z0220	
14-031	Apricots, dried	Apricots, dried		
14-032	Apricots, dried, stewed with sugar	Apricots, dried, stewed with sugar		
14-033	Apricots, dried, stewed without sugar	Apricots, dried, stewed without sugar		
14-025	Apricots, raw	Apricots, raw	A0707 A0833 B1529 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-026	Apricots, raw, weighed with stones	Apricots, raw, weighed with stones	A0707 A0833 B1529 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-036	Apricots, ready-to-eat	Apricots, ready-to-eat	A0707 A0834 B1529 C0139 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
14-027	Apricots, stewed with sugar	Apricots, stewed with sugar		
14-028	Apricots, stewed with sugar, weighed with stones	Apricots, stewed with sugar, weighed with stones		
14-029	Apricots, stewed without sugar	Apricots, stewed without sugar		
14-030	Apricots, stewed without sugar, weighed with stones	Apricots, stewed without sugar, weighed with stones		
12-044	Aptamil	Aptamil		
12-198	Arctic roll	Arctic roll		
13-152	Arrowhead, boiled in unsalted water	Arrowhead, boiled in unsalted water		
13-151	Arrowhead, raw	Arrowhead, raw		
11-001	Arrowroot	Arrowroot		
13-155	Artichoke, globe, boiled in unsalted water	Artichoke, globe, boiled in unsalted water		
13-154	Artichoke, globe, boiled, weighed as served	Artichoke, globe, boiled, weighed as served		
13-153	Artichoke, globe, raw	Artichoke, globe, raw	A0705 A0826 B1466 C0162 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-156	Artichoke, Jerusalem, boiled in unsalted water	Artichoke, Jerusalem, boiled in unsalted water		
13-803	Asafoetida	Asafoetida		
11-230	Asian pastries	Asian pastries		
13-442	Asparagus, boiled in salted water	Asparagus, boiled in salted water	A0705 A0826 B1415 C0186 E0151 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-469	Asparagus, boiled, weighed as served	Asparagus, boiled, weighed as served		
13-160	Asparagus, canned, re-heated, drained	Asparagus, canned, re-heated, drained		
13-157	Asparagus, raw	Asparagus, raw	A0705 A0826 B1415 C0186 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-413	Aubergine, fried in blended oil	Aubergine, fried in blended oil	A0705 A0826 B1458 C0167 E0137 F0014 G0025 H0334 J0001 K0003 M0001 N0001 P0024	
13-412	Aubergine, fried in butter	Aubergine, fried in butter	A0705 A0826 B1458 C0167 E0137 F0014 G0025 H0335 J0001 K0003 M0001 N0001 P0024	
13-162	Aubergine, fried in corn oil	Aubergine, fried in corn oil	A0705 A0826 B1458 C0167 E0137 F0014 G0025 H0334 J0001 K0003 M0001 N0001 P0024	
13-161	Aubergine, raw	Aubergine, raw	A0705 A0826 B1458 C0167 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
15-001	Aubergine, stuffed with lentils and vegetables	Aubergine, stuffed with lentils and vegetables		
15-385	Aubergine, stuffed with rice	Aubergine, stuffed with rice		
15-386	Aubergine, stuffed with vegetables, cheese topping	Aubergine, stuffed with vegetables, cheese topping		
14-037	Avocado, average	Avocado, average	A0707 A0826 B1470 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-038	Avocado, average, weighed with skin and stone	Avocado, average, weighed with skin and stone		
14-039	Avocado, Fuerte	Avocado, Fuerte	A0707 A0826 B1470 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-040	Avocado, Fuerte, weighed with skin and stone	Avocado, Fuerte, weighed with skin and stone		
14-041	Avocado, Hass	Avocado, Hass	A0707 A0826 B1470 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-042	Avocado, Hass, weighed with skin and stone	Avocado, Hass, weighed with skin and stone		
16-001	Ayr, raw	Ayr, raw		
14-043	Babaco	Babaco		
11-158	Baby cereals, rice-based	Baby cereals, rice-based		
11-159	Baby cereals, various cereal-based	Baby cereals, various cereal-based		
11-160	Baby cereals, wheat-based	Baby cereals, wheat-based		
17-404	Baby dessert, cereal and milk based, instant/granulated	Baby dessert, cereal and milk based, instant/granulated		
17-407	Baby dessert, fruit, instant/granulated, reconstituted	Baby dessert, fruit, instant/granulated, reconstituted		
17-389	Baby desserts, cereal and milk based, canned/bottled	Baby desserts, cereal and milk based, canned/bottled		
17-390	Baby desserts, fromage frais, fruit, canned/bottled	Baby desserts, fromage frais, fruit, canned/bottled		
17-392	Baby desserts, fruit and milk based, canned/bottled	Baby desserts, fruit and milk based, canned/bottled		
17-391	Baby desserts, fruit, canned/bottled	Baby desserts, fruit, canned/bottled		
17-406	Baby desserts, fruit, instant/granulated	Baby desserts, fruit, instant/granulated		
17-408	Baby desserts, yogurt, fruit, instant/granulated	Baby desserts, yogurt, fruit, instant/granulated		
17-393	Baby desset, yogurt, fruit, canned/bottled	Baby desset, yogurt, fruit, canned/bottled		
17-405	Baby dessets, cereal and milk based, instant/granulated reconstituted	Baby dessets, cereal and milk based, instant/granulated reconstituted		
17-409	Baby dessets, yogurt, fruit, instant/granulated/ reconstituted	Baby dessets, yogurt, fruit, instant/granulated/ reconstituted		
17-411	Baby fruit juice drink, concentrated, fortified with vitamin C	Baby fruit juice drink, concentrated, fortified with vitamin C		
17-410	Baby fruit juice, fortified with vitamin C	Baby fruit juice, fortified with vitamin C		
17-382	Baby meal, egg/cheese based, canned/bottled	Baby meal, egg/cheese based, canned/bottled		
17-396	Baby meal, egg/cheese based, instant/granulated	Baby meal, egg/cheese based, instant/granulated		
17-397	Baby meal, egg/cheese based, instant/granulated, reconstituted	Baby meal, egg/cheese based, instant/granulated, reconstituted		
17-383	Baby meal, fish based, canned/bottled	Baby meal, fish based, canned/bottled		
17-381	Baby meal, meat based, canned/bottled	Baby meal, meat based, canned/bottled		
17-395	Baby meal, meat based, instant granulated, reconstituted	Baby meal, meat based, instant granulated, reconstituted		
17-394	Baby meal, meat based, instant/granulated	Baby meal, meat based, instant/granulated		
17-384	Baby meal, pasta based meal, canned/bottled	Baby meal, pasta based meal, canned/bottled		
